Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual__Round 1,Actual__Rounds 2-3,Actual__Rounds 4-5,Actual__Rounds 6-7,Actual__Undrafted,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,EDGE,DL,Boston College,ACC,74.5,248,9.25,34.0,82.75,4.28,35.5,22,119.0,6.94,4.19,1,1513,4.829,61.35,56.657,64.403,40.228,0,0,Rounds 2-3,0,1,0,0,0,0,0.3482081242811364,2,4.545454545454546,3.4482758620689653
2024,IOL,OL,Arkansas,SEC,77.25,304,9.5,32.75,77.875,5.31,29.0,26,110.0,7.57,4.47,1,1431,2.225,47.846,34.458,61.741,53.372,0,0,Undrafted,0,0,0,0,1,0,0.34814484650669447,2,4.958677685950414,3.4482758620689653
2024,S,Secondary,Miami,ACC,76.25,231,9.5,33.625,80.25,4.65,30.0,17,117.0,6.69,3.5,1,1580,11.169,68.436,66.666,63.176,51.762,0,0,Rounds 6-7,0,0,0,1,0,1,0.34813987228066423,3,5.371900826446281,5.172413793103448
2023,LB,LB,Pittsburgh,ACC,72.5,226,10.625,32.875,78.875,4.56,33.0,19,119.0,7.35,4.4,1,1687,7.918,61.732,46.268,72.6,50.534,0,0,Rounds 4-5,0,0,1,0,0,0,0.3481393341891905,3,5.785123966942149,5.172413793103448
2023,IOL,OL,USC,Pac-12,78.0,310,10.0,32.125,77.75,5.22,29.0,20,105.0,7.9,4.79,1,1745,13.164,77.414,90.693,44.38,43.862,0,0,Rounds 6-7,0,0,0,1,0,1,0.34807781765805224,4,6.198347107438017,6.896551724137931
2023,K,Special Teams,Georgia,SEC,72.0,194,9.125,29.625,74.375,4.58,34.0,20,121.0,7.27,4.44,0,2300,29.908,93.511,90.791,87.647,45.406,0,0,Undrafted,0,0,0,0,1,0,0.34796935532233586,4,6.6115702479338845,6.896551724137931
2023,OT,OL,Boise St.,Mountain West,77.75,309,10.75,34.0,83.625,5.24,28.5,20,104.0,7.52,4.52,1,1712,3.797,52.954,41.976,64.425,46.27,0,0,Undrafted,0,0,0,0,1,0,0.3479641554565875,4,7.024793388429752,6.896551724137931
2023,C,OL,Penn St.,Big Ten,75.25,301,10.25,33.25,81.75,5.22,32.0,20,102.0,7.75,4.82,1,2000,19.477,82.964,71.335,83.462,50.595,0,0,Rounds 2-3,0,1,0,0,0,0,0.34792063350501035,4,7.43801652892562,6.896551724137931
2023,WR,Skill,Iowa St.,Big 12,73.875,203,9.375,31.375,74.875,4.53,36.0,17,116.0,6.91,4.35,1,1554,6.28,57.494,40.857,78.383,33.853,0,0,Rounds 6-7,0,0,0,1,0,1,0.34785212710015706,5,7.851239669421488,8.620689655172415
2023,EDGE,DL,Oregon,Pac-12,76.0,260,9.0,33.25,80.125,4.49,32.0,28,110.0,7.37,4.44,1,1724,14.225,78.17,81.614,63.631,42.699,0,0,Rounds 2-3,0,1,0,0,0,0,0.3478150197323261,5,8.264462809917356,8.620689655172415
2025,EDGE,DL,Baylor,Big 12,75.75,242,9.0,34.25,81.25,5.45,32.5,21,124.0,6.65,4.97,1,1656,9.105,70.789,70.321,56.691,72.021,0,0,Undrafted,0,0,0,0,1,0,0.34778069683548374,5,8.677685950413224,8.620689655172415
2023,WR,Skill,East Carolina,AAC,73.5,224,10.25,32.0,78.5,4.56,36.0,20,125.0,6.96,4.29,0,1509,1.775,54.675,70.734,39.058,37.309,0,0,Undrafted,0,0,0,0,1,0,0.34765395150173223,5,9.090909090909092,8.620689655172415
2024,IOL,OL,Texas A&M,SEC,75.5,302,10.5,34.625,81.5,5.13,26.5,27,111.0,7.67,4.58,1,1772,15.36,75.057,65.814,76.34,50.751,0,0,Rounds 4-5,0,0,1,0,0,0,0.34754291235573714,5,9.50413223140496,8.620689655172415
2025,WR,Skill,TCU,Big 12,73.25,214,9.0,31.5,75.0,4.52,34.5,19,125.0,6.84,4.21,1,1700,8.023,67.255,69.28,58.063,52.483,0,0,Rounds 2-3,0,1,0,0,0,0,0.3474097423268542,5,9.917355371900827,8.620689655172415
